,genre,count,rank
464,chillout,97374,311906.0
387,Favourites,97436,311907.0
116,dance,97618,311908.0
1153,electronic,101695,311909.0
260,indie rock,103760,311910.0
721,chill,104950,311911.0
391,Favorite,105114,311912.0
308,Mellow,107928,311913.0
744,american,119494,311914.0
439,male vocalists,120528,311915.0
306,beautiful,129317,311916.0
263,alternative rock,130119,311917.0
261,Awesome,141594,311918.0
465,00s,153229,311919.0
230,indie,163751,311920.0
388,Love,164466,311921.0
117,favorites,187252,311922.0
232,alternative,205372,311923.0
259,pop,206776,311924.0
1,rock,255006,311925.0
